Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
%Apop:PANC1:Untreat,0.048243,0.048214,0.092827,0.071303,0.076251,0.0767,0.070398,0.067738,0.053057,0.051963,0.047126,0.044126,0.040116,0.042602,0.031719,0.032277,0.033643,0.035342,0.04021,0.038892,0.041231,0.044367,0.045909,0.048066,0.049708,0.051449,0.171257
%Apop:PANC1:HO,0.046608,0.043735,0.234783,0.360819,0.494725,0.561062,0.633588,0.697484,0.770405,0.834118,0.889284,0.918743,0.943986,0.96075,0.967628,0.976373,0.984043,0.984606,0.984071,0.980462,0.980998,0.971698,0.968509,0.976219,0.976841,0.980462,0.995302
%Apop:PANC1:MLN+SH,0.082797,0.073756,0.155536,0.136424,0.135371,0.144222,0.16007,0.166376,0.180356,0.191601,0.205286,0.214537,0.221833,0.236645,0.258605,0.277582,0.30633,0.330837,0.367673,0.421826,0.478222,0.549188,0.607932,0.66772,0.715184,0.772215,0.985935
%Apop:PANC1:HO+MLN+SH,0.055588,0.049499,0.232964,0.436269,0.606768,0.710648,0.790846,0.841613,0.883939,0.925294,0.944836,0.957746,0.963863,0.967078,0.964912,0.963991,0.963529,0.962375,0.961131,0.967098,0.960588,0.958186,0.956265,0.965721,0.968347,0.970692,0.997629
%Apop:PANC1:Cry,0.046525,0.040533,0.086433,0.114898,0.134986,0.152091,0.157549,0.170665,0.183707,0.199019,0.230055,0.278626,0.34281,0.434449,0.52238,0.594314,0.656798,0.716722,0.765805,0.808242,0.826733,0.846619,0.860606,0.862259,0.861019,0.854776,0.888537
%Apop:PANC1:C+H,0.054617,0.051831,0.15038,0.213038,0.33042,0.479745,0.612493,0.721965,0.807222,0.865038,0.900524,0.925131,0.935972,0.941142,0.946449,0.94936,0.945867,0.941623,0.946908,0.938953,0.926914,0.914153,0.9156,0.894706,0.890835,0.882421,0.977011
%Apop:PANC1:CH+SH,0.162072,0.151727,0.229545,0.304939,0.397099,0.500677,0.548533,0.593318,0.632287,0.69893,0.732231,0.770982,0.800178,0.824029,0.836161,0.835347,0.821189,0.79964,0.789973,0.768643,0.742534,0.721565,0.729841,0.719818,0.729668,0.731119,0.956929
%Apop:PANC1:CH+MLN,0.051782,0.051282,0.108179,0.182299,0.289664,0.445982,0.56585,0.666004,0.76412,0.842556,0.868647,0.904636,0.925581,0.932226,0.941528,0.946595,0.948667,0.93887,0.94709,0.940981,0.922517,0.90867,0.907886,0.886755,0.883598,0.863248,0.980908
%Apop:PANC1:CH+Lap,0.04254,0.044089,0.163569,0.243462,0.363069,0.520988,0.636816,0.729763,0.784913,0.839252,0.858391,0.886745,0.9,0.907165,0.910848,0.910725,0.910392,0.899438,0.905802,0.898632,0.876327,0.861682,0.865876,0.845483,0.855009,0.847785,0.980235
%Apop:PANC1:C+MLN+SH,0.058904,0.053306,0.076115,0.104084,0.133245,0.179708,0.211718,0.244816,0.324415,0.432215,0.518817,0.620968,0.708895,0.761264,0.809588,0.840108,0.861017,0.874576,0.894879,0.8969,0.894031,0.887844,0.893717,0.882117,0.881254,0.866755,0.978349
