Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
%Apop:MCF7:Untreat,0.068235,0.073357,0.059382,0.068843,0.068128,0.085106,0.075449,0.083035,0.088061,0.086339,0.088218,0.079525,0.07945,0.075045,0.08358,0.085373,0.086361,0.08,0.079762,0.079042,0.090476,0.091178,0.092747,0.098986,0.10209,0.100118
%Apop:MCF7:HO,0.07545,0.079197,0.079186,0.089226,0.122159,0.139442,0.165435,0.209289,0.25395,0.328024,0.375451,0.427014,0.502472,0.558824,0.593631,0.640777,0.662965,0.670366,0.700269,0.710312,0.719215,0.745505,0.761837,0.762761,0.769737,0.789665
%Apop:MCF7:MLN+SH,0.065379,0.071815,0.051767,0.052187,0.05996,0.061698,0.065541,0.068058,0.072593,0.073098,0.0735,0.076655,0.081673,0.078226,0.079277,0.091775,0.11038,0.135671,0.160266,0.191589,0.2119,0.247629,0.294149,0.321429,0.373016,0.410857
%Apop:MCF7:HO+MLN+SH,0.071573,0.073073,0.069473,0.076923,0.097341,0.126273,0.155624,0.194115,0.243966,0.306765,0.367489,0.429801,0.489071,0.547945,0.580895,0.613281,0.642003,0.679332,0.714621,0.745133,0.781861,0.803993,0.821256,0.844566,0.868373,0.876763
%Apop:MCF7:Cry,0.064819,0.061416,0.054467,0.058569,0.067821,0.077516,0.106403,0.192607,0.355545,0.57811,0.72364,0.802023,0.856937,0.890927,0.911423,0.924565,0.935934,0.94514,0.948558,0.953321,0.959036,0.959193,0.962337,0.968223,0.974507,0.975445
%Apop:MCF7:C+H,0.070558,0.073183,0.076181,0.085074,0.115994,0.190403,0.433196,0.709044,0.848735,0.915158,0.947368,0.966102,0.972093,0.979296,0.983016,0.983963,0.982981,0.985082,0.986632,0.986577,0.988683,0.992813,0.994843,0.995902,0.996395,0.997435
%Apop:MCF7:CH+SH,0.071244,0.068607,0.062992,0.078339,0.098369,0.211498,0.489731,0.736898,0.852615,0.898056,0.919389,0.935045,0.940495,0.948004,0.949659,0.949606,0.954737,0.955766,0.963197,0.966842,0.979474,0.985279,0.989474,0.993136,0.994737,0.997363
%Apop:MCF7:CH+MLN,0.074074,0.070813,0.088271,0.095706,0.119852,0.206211,0.41646,0.680444,0.836308,0.900491,0.936093,0.951593,0.963513,0.971077,0.974738,0.979667,0.982875,0.984137,0.985303,0.986511,0.988984,0.991995,0.99388,0.996314,0.996328,0.998162
%Apop:MCF7:CH+Lap,0.066069,0.058087,0.094012,0.097757,0.117952,0.164645,0.28415,0.493913,0.695526,0.83498,0.89593,0.923166,0.937718,0.958042,0.968623,0.966841,0.966259,0.966764,0.973837,0.974224,0.973178,0.976121,0.98146,0.987741,0.992429,0.992424
%Apop:MCF7:C+MLN+SH,0.130159,0.107209,0.059121,0.104947,0.115012,0.141061,0.271468,0.50463,0.688472,0.823317,0.897158,0.921868,0.935874,0.944519,0.95191,0.960697,0.962416,0.967713,0.9713,0.977888,0.981565,0.985108,0.991859,0.993682,0.995052,0.9964
%Apop:MCF7:CH+PX,0.071128,0.063391,0.059549,0.062299,0.072973,0.115385,0.268053,0.541918,0.737017,0.859247,0.912972,0.943654,0.95264,0.963547,0.973785,0.972131,0.977596,0.983014,0.98573,0.984083,0.989023,0.988449,0.992333,0.996147,0.996169,0.997803
%Apop:MCF7:Pax,0.073214,0.061027,0.066906,0.07117,0.078963,0.073801,0.08318,0.086366,0.084819,0.086397,0.090248,0.08648,0.092727,0.091184,0.091558,0.086145,0.086567,0.090485,0.089561,0.094798,0.095627,0.092476,0.094688,0.097291,0.099777,0.100336
%Apop:MCF7:C+Pax,0.081264,0.065242,0.063255,0.077537,0.082333,0.092997,0.111434,0.179294,0.288361,0.426752,0.54773,0.647368,0.701805,0.756522,0.791325,0.814035,0.833236,0.860885,0.877635,0.902924,0.906635,0.917447,0.924706,0.932984,0.93874,0.941901
%Apop:MCF7:H+Pax,0.075595,0.080597,0.054235,0.074772,0.098513,0.133375,0.148334,0.184701,0.210292,0.256722,0.307593,0.348197,0.398277,0.460969,0.508486,0.550824,0.6,0.658027,0.694567,0.725519,0.750191,0.787645,0.813972,0.835443,0.847471,0.862325
